age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,Management,married,Tertiary,no,2143.0,yes,no,unknown,5,may,261.0,1,-1.0,0,Unknow,no
44,technician,single,Secondary,no,29.0,yes,no,unknown,5,may,151.0,1,-1.0,0,Unknow,no
33,entrepreneur,married,Secondary,no,2.0,yes,yes,unknown,5,may,76.0,1,-1.0,0,Unknow,no
47,blue-collar,married,Unknown,no,1506.0,yes,no,unknown,5,may,92.0,1,-1.0,0,Unknow,no
33,unknown,single,Unknown,no,1.0,no,no,unknown,5,may,198.0,1,-1.0,0,Unknow,no
35,Management,married,Tertiary,no,231.0,yes,no,unknown,5,may,139.0,1,-1.0,0,Unknow,no
28,Management,single,Tertiary,no,447.0,yes,yes,unknown,5,may,217.0,1,-1.0,0,Unknow,no
42,entrepreneur,divorced,Tertiary,yes,2.0,yes,no,unknown,5,may,380.0,1,-1.0,0,Unknow,no
58,Retired,married,Primary,no,121.0,yes,no,unknown,5,may,50.0,1,-1.0,0,Unknow,no
43,technician,single,Secondary,no,593.0,yes,No,unknown,5,may,55.0,1,-1.0,0,Unknow,no
41,Administrative,divorced,Secondary,no,270.0,yes,no,unknown,5,may,222.0,1,-1.0,0,Unknow,no
29,Administrative,single,Secondary,no,390.0,yes,no,unknown,5,may,137.0,1,-1.0,0,Unknow,no
58,technician,married,Unknown,no,71.0,yes,no,unknown,5,may,71.0,1,-1.0,0,Unknow,no
57,Services,married,Secondary,no,162.0,yes,No,unknown,5,may,174.0,1,-1.0,0,Unknow,no
51,Retired,married,Primary,no,229.0,yes,no,unknown,5,may,353.0,1,-1.0,0,Unknow,no
45,Administrative,single,Unknown,no,13.0,yes,no,unknown,5,may,98.0,1,-1.0,0,Unknow,no
57,blue-collar,married,Primary,no,52.0,yes,no,unknown,5,may,38.0,1,-1.0,0,Unknow,no
60,Retired,married,Primary,no,60.0,yes,no,unknown,5,may,219.0,1,-1.0,0,Unknow,no
33,Services,married,Secondary,no,0.0,yes,no,unknown,5,may,54.0,1,-1.0,0,Unknow,no
28,blue-collar,married,Secondary,no,723.0,yes,yes,unknown,5,may,262.0,1,-1.0,0,Unknow,no
56,Management,married,Tertiary,no,779.0,yes,no,unknown,5,may,164.0,1,-1.0,0,Unknow,no
32,blue-collar,single,Primary,no,23.0,yes,yes,unknown,5,may,160.0,1,-1.0,0,Unknow,no
25,Services,married,Secondary,no,50.0,yes,no,unknown,5,may,342.0,1,-1.0,0,Unknow,no
40,Retired,married,Primary,no,0.0,yes,yes,unknown,5,may,181.0,1,-1.0,0,Unknow,no
44,Administrative,married,Secondary,no,-372.0,yes,no,unknown,5,may,172.0,1,-1.0,0,Unknow,no
39,Management,single,Tertiary,no,255.0,yes,no,unknown,5,may,296.0,1,-1.0,0,Unknow,no
52,entrepreneur,married,Secondary,no,113.0,yes,yes,unknown,5,may,127.0,1,-1.0,0,Unknow,no
46,Management,single,Secondary,no,-246.0,yes,no,unknown,5,may,255.0,2,-1.0,0,Unknow,no
36,technician,single,Secondary,no,265.0,yes,yes,unknown,5,may,348.0,1,-1.0,0,Unknow,no
57,technician,married,Secondary,no,839.0,no,yes,unknown,5,may,225.0,1,-1.0,0,Unknow,no
49,Management,married,Tertiary,no,378.0,yes,no,unknown,5,may,230.0,1,-1.0,0,Unknow,no
60,Administrative,married,Secondary,no,39.0,yes,yes,unknown,5,may,208.0,1,-1.0,0,Unknow,no
59,blue-collar,married,Secondary,no,0.0,yes,no,unknown,5,may,226.0,1,-1.0,0,Unknow,no
51,Management,married,Tertiary,no,10635.0,yes,no,unknown,5,may,336.0,1,-1.0,0,Unknow,no
57,technician,divorced,Secondary,no,63.0,yes,no,unknown,5,may,242.0,1,-1.0,0,Unknow,no
25,blue-collar,married,Secondary,no,-7.0,yes,no,unknown,5,may,365.0,1,-1.0,0,Unknow,no
53,technician,married,Secondary,no,-3.0,no,no,unknown,5,may,1666.0,1,-1.0,0,Unknow,no
36,Administrative,divorced,Secondary,no,506.0,yes,no,unknown,5,may,577.0,1,-1.0,0,Unknow,no
37,Administrative,single,Secondary,no,0.0,yes,no,unknown,5,may,137.0,1,-1.0,0,Unknow,no
44,Services,divorced,Secondary,no,2586.0,yes,no,unknown,5,may,160.0,1,-1.0,0,Unknow,no
50,Management,married,Secondary,no,49.0,yes,no,unknown,5,may,180.0,2,-1.0,0,Unknow,no
60,blue-collar,married,Unknown,no,104.0,yes,no,unknown,5,may,22.0,1,-1.0,0,Unknow,no
54,Retired,married,Secondary,no,529.0,yes,no,unknown,5,may,1492.0,1,-1.0,0,Unknow,no
58,Retired,married,Unknown,no,96.0,yes,no,unknown,5,may,616.0,1,-1.0,0,Unknow,no
36,Administrative,single,Primary,no,-171.0,yes,no,unknown,5,may,242.0,1,-1.0,0,Unknow,no
58,Self-employed,married,Tertiary,no,-364.0,yes,no,unknown,5,may,355.0,1,-1.0,0,Unknow,no
44,technician,married,Secondary,no,0.0,yes,no,unknown,5,may,225.0,2,-1.0,0,Unknow,no
55,technician,divorced,Secondary,no,0.0,no,no,unknown,5,may,160.0,1,-1.0,0,Unknow,no
29,Management,single,Tertiary,no,0.0,yes,no,unknown,5,may,363.0,1,-1.0,0,Unknow,no
54,blue-collar,married,Secondary,no,1291.0,yes,no,unknown,5,may,266.0,1,-1.0,0,Unknow,no
48,Management,divorced,Tertiary,no,-244.0,yes,no,unknown,5,may,253.0,1,-1.0,0,Unknow,no
32,Management,married,Tertiary,no,0.0,yes,no,unknown,5,may,179.0,1,-1.0,0,Unknow,no
42,Administrative,single,Secondary,no,-76.0,yes,no,unknown,5,may,787.0,1,-1.0,0,Unknow,no
24,technician,single,Secondary,no,-103.0,yes,yes,unknown,5,may,145.0,1,-1.0,0,Unknow,no
38,entrepreneur,single,Tertiary,no,243.0,no,yes,unknown,5,may,174.0,1,-1.0,0,Unknow,no
38,Management,single,Tertiary,no,424.0,yes,no,unknown,5,may,104.0,1,-1.0,0,Unknow,no
47,blue-collar,married,Unknown,no,306.0,yes,no,unknown,5,may,13.0,1,-1.0,0,Unknow,no
40,blue-collar,single,Unknown,no,24.0,yes,no,unknown,5,may,185.0,1,-1.0,0,Unknow,no
46,Services,married,Primary,no,179.0,yes,no,unknown,5,may,1778.0,1,-1.0,0,Unknow,no
32,Administrative,married,Tertiary,no,0.0,yes,no,unknown,5,may,138.0,1,-1.0,0,Unknow,no
53,technician,divorced,Secondary,no,989.0,yes,no,unknown,5,may,812.0,1,-1.0,0,Unknow,no
57,blue-collar,married,Primary,no,249.0,yes,no,unknown,5,may,164.0,1,-1.0,0,Unknow,no
33,Services,married,Secondary,no,790.0,yes,no,unknown,5,may,391.0,1,-1.0,0,Unknow,no
49,blue-collar,married,Unknown,no,154.0,yes,no,unknown,5,may,357.0,1,-1.0,0,Unknow,no
51,Management,married,Tertiary,no,6530.0,yes,no,unknown,5,may,91.0,1,-1.0,0,Unknow,no
60,Retired,married,Tertiary,no,100.0,no,no,unknown,5,may,528.0,1,-1.0,0,Unknow,no
59,Management,divorced,Tertiary,no,59.0,yes,no,unknown,5,may,273.0,1,-1.0,0,Unknow,no
55,technician,married,Secondary,no,1205.0,yes,no,unknown,5,may,158.0,2,-1.0,0,Unknow,no
35,blue-collar,single,Secondary,no,12223.0,yes,yes,unknown,5,may,177.0,1,-1.0,0,Unknow,no
57,blue-collar,married,Secondary,no,5935.0,yes,yes,unknown,5,may,258.0,1,-1.0,0,Unknow,no
31,Services,married,Secondary,no,25.0,yes,yes,unknown,5,may,172.0,1,-1.0,0,Unknow,no
54,Management,married,Secondary,no,282.0,yes,yes,unknown,5,may,154.0,1,-1.0,0,Unknow,no
55,blue-collar,married,Primary,no,23.0,yes,no,unknown,5,may,291.0,1,-1.0,0,Unknow,no
43,technician,married,Secondary,no,1937.0,yes,no,unknown,5,may,181.0,1,-1.0,0,Unknow,no
53,technician,married,Secondary,no,384.0,yes,no,unknown,5,may,176.0,1,-1.0,0,Unknow,no
44,blue-collar,married,Secondary,no,582.0,no,yes,unknown,5,may,211.0,1,-1.0,0,Unknow,no
55,Services,divorced,Secondary,no,91.0,no,no,unknown,5,may,349.0,1,-1.0,0,Unknow,no
49,Services,divorced,Secondary,no,0.0,yes,yes,unknown,5,may,272.0,1,-1.0,0,Unknow,no
55,Services,divorced,Secondary,yes,1.0,yes,no,unknown,5,may,208.0,1,-1.0,0,Unknow,no
45,Administrative,single,Secondary,no,206.0,yes,no,unknown,5,may,193.0,1,-1.0,0,Unknow,no
47,Services,divorced,Secondary,no,164.0,no,No,unknown,5,may,212.0,1,-1.0,0,Unknow,no
42,technician,single,Secondary,no,690.0,yes,no,unknown,5,may,20.0,1,-1.0,0,Unknow,no
59,Administrative,married,Secondary,no,2343.0,yes,no,unknown,5,may,1042.0,1,-1.0,0,Unknow,yes
46,Self-employed,married,Tertiary,no,137.0,yes,yes,unknown,5,may,246.0,1,-1.0,0,Unknow,no
51,blue-collar,married,Primary,no,173.0,yes,no,unknown,5,may,529.0,2,-1.0,0,Unknow,no
56,Administrative,married,Secondary,no,45.0,no,no,unknown,5,may,1467.0,1,-1.0,0,Unknow,yes
46,Management,divorced,Secondary,no,16.0,yes,YES,unknown,5,may,188.0,2,-1.0,0,Unknow,no
57,Retired,married,Secondary,no,486.0,yes,no,unknown,5,may,180.0,2,-1.0,0,Unknow,no
42,Management,single,Secondary,no,50.0,no,no,unknown,5,may,48.0,1,-1.0,0,Unknow,no
30,technician,married,Secondary,no,152.0,yes,yes,unknown,5,may,213.0,2,-1.0,0,Unknow,no
60,Administrative,married,Secondary,no,290.0,yes,no,unknown,5,may,583.0,1,-1.0,0,Unknow,no
60,blue-collar,married,Unknown,no,54.0,yes,no,unknown,5,may,221.0,1,-1.0,0,Unknow,no
57,entrepreneur,divorced,Secondary,no,-37.0,no,no,unknown,5,may,173.0,1,-1.0,0,Unknow,no
36,Management,married,Tertiary,no,101.0,yes,yes,unknown,5,may,426.0,1,-1.0,0,Unknow,no
55,blue-collar,married,Secondary,no,383.0,no,no,unknown,5,may,287.0,1,-1.0,0,Unknow,no
60,Retired,married,Tertiary,no,81.0,yes,no,unknown,5,may,101.0,1,-1.0,0,Unknow,no
39,technician,married,Secondary,no,0.0,yes,no,unknown,5,may,203.0,1,-1.0,0,Unknow,no
46,Management,married,Tertiary,no,229.0,yes,no,unknown,5,may,197.0,1,-1.0,0,Unknow,no
44,blue-collar,married,Secondary,no,-674.0,yes,no,unknown,5,may,257.0,1,-1.0,0,Unknow,no
53,blue-collar,married,Primary,no,90.0,no,no,unknown,5,may,124.0,1,-1.0,0,Unknow,no
52,blue-collar,married,Primary,no,128.0,yes,no,unknown,5,may,229.0,1,-1.0,0,Unknow,no
59,blue-collar,married,Primary,no,179.0,yes,no,unknown,5,may,55.0,3,-1.0,0,Unknow,no
27,technician,single,Tertiary,no,0.0,yes,no,unknown,5,may,400.0,1,-1.0,0,Unknow,no
44,blue-collar,married,Secondary,no,54.0,yes,no,unknown,5,may,197.0,1,-1.0,0,Unknow,no
47,technician,married,Tertiary,no,151.0,yes,no,unknown,5,may,190.0,1,-1.0,0,Unknow,no
34,Administrative,married,Secondary,no,61.0,no,Yes,unknown,5,may,21.0,1,-1.0,0,Unknow,no
59,Retired,single,Secondary,no,30.0,yes,no,unknown,5,may,514.0,1,-1.0,0,Unknow,no
45,Management,married,Tertiary,no,523.0,yes,no,unknown,5,may,849.0,2,-1.0,0,Unknow,no
29,Services,divorced,Secondary,no,31.0,yes,no,unknown,5,may,194.0,1,-1.0,0,Unknow,no
46,technician,divorced,Secondary,no,79.0,no,no,unknown,5,may,144.0,1,-1.0,0,Unknow,no
56,Self-employed,married,Primary,no,-34.0,yes,yes,unknown,5,may,212.0,2,-1.0,0,Unknow,no
36,blue-collar,married,Primary,no,448.0,yes,no,unknown,5,may,286.0,1,-1.0,0,Unknow,no
59,Retired,divorced,Primary,no,81.0,yes,no,unknown,5,may,107.0,1,-1.0,0,Unknow,no
44,blue-collar,married,Secondary,no,144.0,yes,no,unknown,5,may,247.0,2,-1.0,0,Unknow,no
41,Administrative,married,Secondary,no,351.0,yes,no,unknown,5,may,518.0,1,-1.0,0,Unknow,no
33,Management,single,Tertiary,no,-67.0,yes,no,unknown,5,may,364.0,1,-1.0,0,Unknow,no
59,Management,divorced,Tertiary,no,262.0,no,no,unknown,5,may,178.0,1,-1.0,0,Unknow,no
57,technician,married,Primary,no,0.0,no,no,unknown,5,may,98.0,1,-1.0,0,Unknow,no
56,technician,divorced,Unknown,no,56.0,yes,no,unknown,5,may,439.0,1,-1.0,0,Unknow,no
51,blue-collar,married,Secondary,no,26.0,yes,no,unknown,5,may,79.0,1,-1.0,0,Unknow,no
34,Administrative,married,Unknown,no,3.0,yes,no,unknown,5,may,120.0,3,-1.0,0,Unknow,no
43,Services,married,Secondary,no,41.0,yes,yes,unknown,5,may,127.0,2,-1.0,0,Unknow,no
52,technician,married,Tertiary,no,7.0,no,yes,unknown,5,may,175.0,1,-1.0,0,Unknow,no
33,technician,single,Secondary,no,105.0,yes,no,unknown,5,may,262.0,2,-1.0,0,Unknow,no
29,Administrative,single,Secondary,no,818.0,yes,yes,unknown,5,may,61.0,1,-1.0,0,Unknow,no
34,Services,married,Secondary,no,-16.0,yes,yes,unknown,5,may,78.0,1,-1.0,0,Unknow,no
31,blue-collar,married,Secondary,no,0.0,yes,no,unknown,5,may,143.0,1,-1.0,0,Unknow,no
55,Services,married,Secondary,no,2476.0,yes,no,unknown,5,may,579.0,1,-1.0,0,Unknow,yes
55,Management,married,Unknown,no,1185.0,no,no,unknown,5,may,677.0,1,-1.0,0,Unknow,no
32,Administrative,single,Secondary,no,217.0,yes,no,unknown,5,may,345.0,1,-1.0,0,Unknow,no
38,technician,single,Secondary,no,1685.0,yes,no,unknown,5,may,185.0,1,-1.0,0,Unknow,no
55,Administrative,single,Secondary,no,802.0,yes,yes,unknown,5,may,100.0,2,-1.0,0,Unknow,no
28,unemployed,single,Tertiary,no,0.0,yes,no,unknown,5,may,125.0,2,-1.0,0,Unknow,no
23,blue-collar,married,Secondary,no,94.0,yes,no,unknown,5,may,193.0,1,-1.0,0,Unknow,no
32,technician,single,Secondary,no,0.0,yes,no,unknown,5,may,136.0,1,-1.0,0,Unknow,no
43,Services,single,Unknown,no,0.0,no,no,unknown,5,may,73.0,1,-1.0,0,Unknow,no
32,blue-collar,married,Secondary,no,517.0,yes,no,unknown,5,may,528.0,1,-1.0,0,Unknow,no
